"w3name","w3edition","w3proddate","idno","cntry","age","agegroup35","w3pspwght","w3weight","w3mode","essround","w3gq2","w3gq3","w3gq4","w3gq5","w3gq6","w3gq7","w3gq8","w3gq9","w3gq10","w3gq11","w3gq12_1","w3gq12_2","w3gq12_3","w3gq12_4","w3gq12_5","w3gq12_6","w3gq12_7","w3gq13_1","w3gq13_2","w3gq13_3","w3gq13_4","w3gq13_5","w3gq13_6","w3gq13_7","w3gq14_1","w3gq14_2","w3gq14_3","w3gq14_4","w3gq14_5","w3gq14_6","w3gq14_7","w3gq14_8","w3gq15","w3gq16","w3gq17","w3gq18_1","w3gq18_2","w3gq18_3","w3gq18_4","w3gq18_5","w3gq18_6","w3gq19","w3eq20","w3eq21","w3eq22","w3eq23","w3eq24","w3eq25","w3eq26","w3eq27","w3eq28","w3eq29","w3eq30","w3eq31","w3eq32","w3eq33","w3eq34","w3eq35","w3eq36","w3eq37","w3sq61","w3sq62","w3sq63","w3sq64","w3sq65","w3sq66","w3sq67","w3sq68","w3sq69a","w3sq69b","w3sq70","w3sq71","w3sq74","w3sq75","w3sq76","w3sq78","w3sq80","w3hq57","w3hq58","w3hq59_1","w3hq59_2","w3hq59_3","w3hq59_4","w3hq59_5","w3hq59_6","w3hq59_7","w3hq59_8","w3hq59_9","w3hq59_10","w3hq59_11","w3hq59_12","w3hq59_13","w3hq60","w3hq72","w3hq73","w3hq77","w3hq79_1","w3hq79_2","w3hq79_3","w3hq79_4","w3hq79_5","w3hq79_6","w3hq79_7","w3hq79_8","w3hq81","w3hq82","w3hq83","w3hq84","w3hq85","w3hq86","w3hq87","w3hq88","w3hq89","w3dq38","w3dq39","w3dq40","w3dq41","w3dq42","w3dq43","w3dq44","w3dq45","w3dq46","w3dq47","w3dq48","w3dq49","w3dq50","w3dq51","w3dq52a","w3dq52b","w3dq53","w3dq54","w3dq55","w3dq56","w3xq1","w3survlng","w3inwds","w3ginws","w3ginwe","w3einwe","w3dinwe","w3shinwe","w3inwde","w3gdur","w3edur","w3ddur","w3shdur","w3intdur","w3surveycomp","w3lastansw","w3uagent","w3device","gndr","eduyrs","eisced","netusoft","mnactic","hincfel","hinctnta","region","ctzcntr","vote","mode","yrbrn"
"CRON3W3e01_1","1.1","06.11.2025",10048,"AT",69,2,0.56361216,0.5949786,1,10,1,1,1,2,4,5,4,2,2,5,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,9,4,5,1,1,0,1,0,0,8,1,2,2,2,2,2,2,3,4,2,2,3,3,2,3,3,2,3,2,3,2,7,2,3,6,2,1,1,6,8,2,6,9,6,6,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,66,2,0,0,0,0,0,0,1,0,6,6,6,6,6,6,6,66,6,7,6,2,3,8,66,66,66,66,10,6,1,2,3,1,3,2,2,1,2,9,"GER",2025-01-20 09:27:15,2025-01-20 09:28:17,2025-01-20 09:34:25,2025-01-20 09:39:55,2025-01-20 09:44:34,2025-01-20 09:51:42,2025-01-20 09:52:50,368,330,279,428,1405,100,"w3sq78","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",2,9,11,3,4,6,1,10,"AT31",1,1,4,1955
"CRON3W3e01_1","1.1","06.11.2025",10167,"AT",76,2,1.7966286,1.8966156,1,10,1,1,2,2,2,5,4,2,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,10,4,5,0,0,0,0,1,0,5,1,2,2,2,3,3,2,3,3,3,3,3,1,1,2,1,4,4,1,1,2,7,2,3,6,1,1,1,4,8,2,6,4,6,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,66,2,0,0,0,0,0,0,1,0,6,6,6,6,6,6,6,66,6,3,5,5,8,7,6,7,0,0,9,1,1,2,2,1,2,1,1,1,1,9,"GER",2025-01-22 17:50:33,2025-01-22 17:51:03,2025-01-22 17:56:32,2025-01-22 18:01:47,2025-01-22 18:06:38,2025-01-22 18:13:33,2025-01-22 18:13:56,329,315,291,415,1350,100,"w3sq78","Mozilla/5.0 (iPad; CPU OS 18_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/131.0.2903.145 Version/18.0 Mobile/15E148 Safari/604.1",3,1,11,3,5,6,1,10,"AT32",1,1,3,1948
"CRON3W3e01_1","1.1","06.11.2025",10190,"AT",44,2,0.6106906,0.6446771,1,10,1,1,1,1,5,4,4,1,2,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,10,4,7,0,1,0,0,0,0,7,1,1,1,1,3,3,3,3,2,2,2,3,4,4,3,4,1,1,1,1,4,3,2,3,1,2,1,4,8,5,2,6,4,66,1,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,2,2,66,1,0,0,0,0,0,1,0,0,1,1,1,5,2,1,4,3,2,2,8,9,10,6,6,3,6,1,8,8,2,2,4,1,4,2,1,2,2,2,"GER",2025-01-15 16:45:45,2025-01-15 16:46:00,2025-01-15 16:49:08,2025-01-15 20:07:36,2025-01-15 20:10:43,2025-01-15 20:16:54,2025-01-15 20:17:00,188,11907,187,371,12653,100,"w3hq89","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0",2,2,13,6,5,1,2,77,"AT22",1,1,3,1980
"CRON3W3e01_1","1.1","06.11.2025",10200,"AT",58,2,0.26293346,0.2775664,1,10,1,1,1,3,5,4,4,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,3,4,0,0,0,0,1,0,6,2,1,2,2,3,3,3,3,3,3,3,3,4,4,3,4,2,3,2,1,4,7,2,3,5,3,1,5,3,8,1,6,3,66,3,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,3,2,66,1,0,0,0,0,0,1,0,0,1,5,3,5,5,4,1,10,2,6,5,5,6,5,4,4,3,2,5,5,1,3,2,1,4,2,2,2,2,6,"GER",2025-01-15 19:28:55,2025-01-15 19:29:43,2025-01-15 19:35:12,2025-01-15 19:38:26,2025-01-15 19:44:29,2025-01-15 19:52:03,2025-01-15 19:52:11,329,194,363,454,1340,100,"w3hq89","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36",1,2,17,5,5,1,2,5,"AT22",1,1,3,1966
"CRON3W3e01_1","1.1","06.11.2025",10202,"AT",38,2,0.42714593,0.4509177,1,10,1,1,1,1,2,4,5,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,5,5,8,0,0,0,0,1,0,2,1,2,1,2,3,3,2,5,2,5,5,2,2,3,3,1,5,5,1,1,2,9,1,3,6,3,1,1,2,6,3,66,2,66,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,66,1,0,0,0,0,0,1,0,0,1,5,3,1,4,4,4,2,2,0,7,9,10,5,2,1,5,1,0,8,1,1,3,1,3,4,2,4,1,9,"GER",2025-01-31 06:59:11,2025-01-31 06:59:22,2025-01-31 07:02:00,2025-01-31 07:08:54,2025-01-31 07:11:12,2025-01-31 07:17:53,2025-01-31 07:18:01,158,414,138,401,1111,100,"w3hq89","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0",2,1,14,5,5,1,1,3,"AT22",2,3,3,1986
"CRON3W3e01_1","1.1","06.11.2025",10237,"AT",58,2,2.7369292,2.889246,1,10,1,2,2,2,5,5,5,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,4,7,0,1,0,0,0,0,9,1,1,1,2,2,2,2,4,3,3,3,3,2,3,2,2,4,5,2,1,4,10,2,3,1,2,1,1,4,8,2,1,2,66,4,1,2,0,1,0,0,1,1,0,1,0,0,0,0,0,1,2,66,1,0,0,0,0,0,1,0,0,1,2,1,5,5,3,1,10,2,1,2,5,8,2,5,7,0,0,10,7,2,2,4,1,5,2,2,1,1,7,"GER",2025-02-05 12:51:15,2025-02-05 12:51:53,2025-02-05 12:56:17,2025-02-05 12:59:54,2025-02-05 13:03:27,2025-02-05 13:09:58,2025-02-05 13:10:19,264,217,214,391,1085,100,"w3hq89","Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/131.0.2903.125 Version/17.0 Mobile/15E148 Safari/604.1",1,1,12,3,4,1,1,77,"AT34",1,1,4,1966
"CRON3W3e01_1","1.1","06.11.2025",10238,"AT",68,2,3.016998,3.1849017,1,10,1,1,2,2,5,9,5,1,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,5,8,0,0,0,0,1,0,8,2,2,1,2,1,2,1,3,3,2,2,4,2,3,2,3,3,2,2,1,4,7,4,2,1,2,1,1,5,8,3,66,9,6,6,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,9,66,2,0,0,0,0,0,0,1,0,6,6,6,6,6,6,6,66,6,8,3,10,10,3,4,7,0,0,10,6,1,4,3,1,2,1,1,1,1,8,"GER",2025-01-17 07:02:04,2025-01-17 07:02:55,2025-01-17 07:09:18,2025-01-17 07:13:16,2025-01-17 07:17:55,2025-01-17 07:23:14,2025-01-17 07:23:31,382,238,279,319,1219,98.039215,"w3sq78","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/27.0 Chrome/125.0.0.0 Mobile Safari/537.36",1,2,12,2,5,6,1,7,"AT12",1,1,3,1956
"CRON3W3e01_1","1.1","06.11.2025",10368,"AT",38,2,0.16977277,0.17922105,1,10,1,3,1,1,5,4,4,1,2,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,7,3,6,0,1,0,0,0,0,5,2,1,1,2,2,2,2,2,2,3,2,4,3,3,3,3,2,1,2,1,4,10,4,3,4,3,1,2,3,1,3,66,1,66,4,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,66,1,0,0,0,0,0,1,0,0,1,2,1,5,3,2,4,8,2,7,5,6,10,7,5,2,0,0,10,6,1,3,5,1,3,3,3,1,1,8,"GER",2025-01-15 14:12:17,2025-01-15 14:12:28,2025-01-15 14:15:00,2025-01-15 14:19:38,2025-01-15 14:21:37,2025-01-15 14:24:45,2025-01-15 14:24:51,152,278,120,188,738,100,"w3hq89","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1",1,2,20,7,5,1,2,6,"AT31",1,1,4,1986
"CRON3W3e01_1","1.1","06.11.2025",10370,"AT",23,1,1.293349,1.3653271,1,10,1,1,1,2,5,2,1,4,1,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,5,3,0,0,0,0,1,0,3,2,1,1,2,2,1,3,4,2,3,1,4,2,3,3,4,1,2,1,1,4,7,4,3,6,4,1,1,3,3,1,5,2,66,4,4,3,0,0,1,0,1,0,1,1,1,1,0,0,0,1,2,66,1,0,0,0,0,0,1,0,0,2,1,3,5,2,2,1,11,2,3,9,9,9,6,2,2,3,4,10,6,1,2,3,1,2,5,5,1,1,3,"GER",2025-01-23 00:23:45,2025-01-23 00:24:00,2025-01-23 00:27:24,2025-01-23 00:30:26,2025-01-23 00:32:56,2025-01-23 00:39:28,2025-01-23 00:39:46,205,181,150,392,929,100,"w3hq89","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0",2,2,14,4,5,2,3,8,"AT12",1,1,3,2001
"CRON3W3e01_1","1.1","06.11.2025",10443,"AT",71,2,0.34306586,0.36215836,1,10,1,2,2,2,5,5,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10,5,7,0,0,0,0,1,0,1,2,2,1,2,2,2,3,2,3,2,2,3,3,3,3,2,3,4,2,3,4,5,3,3,7,3,1,1,1,8,3,66,4,66,4,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,66,1,0,0,0,0,0,1,0,0,1,2,1,5,5,5,1,11,3,1,4,8,10,8,66,66,66,66,10,10,2,4,1,1,2,1,1,1,2,5,"GER",2025-01-15 17:01:58,2025-01-15 17:02:21,2025-01-15 17:07:11,2025-01-15 17:11:39,2025-01-15 17:15:36,2025-01-15 17:22:53,2025-01-15 17:23:15,290,268,237,437,1232,100,"w3hq89","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0",2,1,25,7,5,6,1,8,"AT12",1,1,3,1953
