city_clean,country_norm,region_nuts,Access to large green spaces_rescaled,Surrounding greenness_rescaled,Universal access to green spaces_rescaled,Opportunity to walk_rescaled,Opportunity to cycle_rescaled,Air quality (NO2)_rescaled,Air quality (PM2.5)_rescaled,Lower urban heat islands_rescaled,Public transport stops_rescaled,Permeability_rescaled
Budapest,HU,HU110,6.9,2.34,4.64,6.08,2.63,5.43,2.9,4.59,4.14,1.68
Berlin,DE,DE300,6.14,3.48,4.8,8.04,1.81,5.5,5.03,0.0,3.52,1.35
Hamburg,DE,DE600,5.03,4.3,4.17,7.93,1.22,5.59,5.91,3.86,3.24,2.21
Birmingham,UK,UKG31,7.1,3.16,5.5,5.29,2.84,4.69,8.01,6.55,5.17,2.11
Sheffield,UK,UKE32,6.89,4.76,5.92,6.6,1.96,5.66,7.96,5.07,5.65,4.05
Leeds,UK,UKE42,6.62,4.89,5.82,6.15,2.92,5.49,8.2,6.52,4.83,3.26
Sofia,BG,BG411,6.66,2.63,4.55,6.27,1.73,6.69,4.81,6.9,3.93,1.69
Oslo,NO,NO011,5.28,4.46,4.6,8.56,4.87,6.1,8.45,3.27,3.66,3.79
Stuttgart,DE,DE111,6.23,5.22,4.66,7.69,0.79,4.0,6.51,5.39,2.95,2.59
Leipzig,DE,DED51,5.76,4.73,4.71,7.78,1.93,5.49,6.32,6.14,2.99,1.71
Essen,DE,DEA13,6.34,4.14,5.94,7.77,1.5,2.5,6.15,5.81,3.09,2.54
Bradford,UK,UKE41,6.65,4.81,4.63,4.99,2.17,6.1,8.68,5.94,4.85,3.19
Zaragoza,ES,ES243,4.58,3.74,3.81,7.32,4.26,3.9,5.48,10.0,3.48,2.51
Zagreb,HR,HR050,6.86,4.73,5.54,6.49,0.53,7.33,4.78,5.38,2.91,4.51
Hannover,DE,DE929,5.27,4.39,3.82,7.78,2.63,5.24,6.78,6.15,2.91,1.61
Poznan,PL,PL415,5.69,4.47,4.43,8.43,1.98,5.56,5.0,6.1,3.24,2.76
Toulouse,FR,FRJ21,5.78,2.35,4.38,5.62,4.26,6.8,6.82,5.48,3.16,2.42
Bordeaux,FR,FRI12,6.39,2.18,4.4,5.27,3.89,6.68,6.67,3.08,4.03,1.49
Lyon,FR,FRK21,6.2,2.08,4.19,5.85,3.14,3.1,6.07,6.21,3.65,1.85
Dresden,DE,DED21,6.25,4.43,4.99,7.77,1.87,5.4,6.14,4.03,3.39,1.97
Nice,FR,FRL03,7.24,4.17,5.09,4.1,2.22,5.33,6.6,0.0,3.89,4.45
Dortmund,DE,DEA52,5.55,5.28,4.41,8.39,2.59,3.1,6.28,6.7,3.61,3.33
Marseille,FR,FRL01,5.73,2.79,3.42,5.13,1.98,4.53,6.74,4.09,3.68,2.21
Palermo,IT,ITG12,4.98,2.27,2.54,2.49,2.2,5.69,6.15,5.68,3.69,2.59
Nantes,FR,FRG01,6.42,3.13,4.57,5.69,2.83,6.64,6.82,4.92,2.93,2.17
Wroclaw,PL,PL514,4.55,4.37,4.61,9.61,2.81,5.53,3.92,5.68,3.64,2.43
Bremen,DE,DE501,4.76,3.25,4.06,7.37,3.24,5.34,6.76,6.2,2.64,2.2
Lille,FR,FRE11,5.34,2.48,4.04,5.17,2.79,3.43,6.1,5.05,3.1,2.56
Edinburgh,UK,UKM25,6.53,3.83,5.81,6.37,3.09,7.13,8.77,6.86,5.31,2.56
Granada,ES,ES616,5.89,2.21,6.09,9.16,2.24,5.18,8.09,7.44,6.08,1.55
Plymouth,UK,UKK41,7.09,3.83,5.67,6.08,2.95,7.32,8.3,6.52,5.61,2.91
Northampton,UK,UKF21,7.04,4.25,5.43,5.17,3.85,6.34,8.5,6.81,2.16,3.05
Bristol,UK,UKK11,7.29,2.99,5.59,5.82,3.02,5.32,7.4,6.31,5.04,2.25
Bologna,IT,ITH55,8.31,2.5,6.73,5.67,5.42,2.6,3.31,6.87,4.93,3.11
Vigo,ES,ES114,7.58,4.63,4.78,7.04,1.45,6.46,6.49,5.68,4.34,5.01
Cardiff,UK,UKL22,7.32,3.61,5.7,5.69,3.46,5.98,7.8,5.45,2.21,2.37
Derby,UK,UKF11,6.89,3.19,5.62,5.67,3.47,5.89,7.63,6.96,5.08,1.87
Coventry,UK,UKG34,6.63,3.61,5.37,5.95,2.52,4.89,8.04,5.87,5.46,2.44
Luton,UK,UKH23,7.44,2.36,4.65,4.54,2.78,5.77,7.98,5.83,2.69,2.33
Valladolid,ES,ES413,5.96,3.67,4.65,6.35,5.01,5.53,6.6,6.92,3.83,2.66
York,UK,UKE21,6.15,3.73,5.34,5.75,4.12,6.64,7.78,6.26,3.79,2.92
Aberdeen,UK,UKM50,5.86,3.18,4.99,6.1,2.53,7.46,9.18,6.87,5.01,2.59
Warrington,UK,UKD36,6.3,3.98,5.0,7.0,3.87,5.48,7.59,6.44,4.07,3.67
Swindon,UK,UKK14,4.94,3.13,5.24,5.51,4.59,7.18,7.95,5.87,4.6,2.68
Medway,UK,UKJ22,6.72,3.37,5.27,5.14,2.54,5.76,7.38,5.99,4.7,2.55
Bielefeld,DE,DEA41,6.43,5.57,5.76,7.23,3.99,6.04,6.33,6.15,3.25,3.38
Sintra,PT,PT170,8.1,3.21,5.56,4.47,2.19,6.05,6.9,5.21,3.52,3.53
Bochum,DE,DEA51,6.48,4.84,6.22,8.12,1.45,2.72,5.87,6.08,3.55,3.18
Kirklees,UK,UKE43,5.94,6.31,5.31,5.34,2.11,6.09,8.07,6.3,4.82,5.19
Koice,SK,SK042,6.01,4.71,5.71,9.35,1.35,7.59,3.05,6.12,3.52,3.21
Radom,PL,PL921,6.08,5.13,6.01,8.27,2.69,6.7,1.77,6.31,3.15,3.86
Bonn,DE,DEA22,6.21,3.37,5.17,7.89,1.62,3.91,6.22,6.72,4.35,2.42
Almere,NL,NL230,5.58,3.91,5.32,7.42,6.72,4.95,6.47,5.81,1.33,3.33
Oviedo,ES,ES120,6.94,3.6,6.06,7.01,1.42,5.36,5.25,3.24,3.9,3.77
Lublin,PL,PL814,6.14,4.94,5.45,9.05,3.47,5.81,2.46,5.75,3.28,3.36
Plovdiv,BG,BG421,6.09,2.52,3.99,5.09,3.47,6.75,5.79,6.25,3.77,1.75
Sunderland,UK,UKC24,6.24,3.46,4.28,4.87,2.96,6.76,8.57,7.1,5.47,2.64
Montpellier,FR,FRJ12,6.83,3.22,5.52,5.72,4.01,5.41,6.64,5.9,2.68,2.53
Bialystok,PL,PL841,6.07,4.23,4.47,8.4,2.69,5.65,4.52,6.05,3.76,2.42
Grenoble,FR,FRK23,7.3,2.56,6.0,7.14,3.9,5.9,6.12,0.0,3.99,2.41
Graz,AT,AT22,6.21,2.71,5.35,7.54,4.2,5.09,5.77,3.23,4.0,2.44
Bydgoszcz,PL,PL613,5.43,4.88,4.81,8.55,3.44,5.67,4.77,4.73,3.58,2.23
Gdynia,PL,PL634,4.96,5.29,4.23,8.57,1.6,7.48,7.17,5.37,0.82,3.09
Barnsley,UK,UKE31,6.27,6.75,5.1,5.41,1.84,6.28,7.92,6.23,4.5,4.59
Braunschweig,DE,DE911,5.53,5.85,4.42,8.48,2.94,6.29,6.37,5.81,2.83,2.79
Bratislava,SK,SK010,5.28,3.88,4.49,9.07,2.46,6.02,4.12,6.8,3.69,3.63
Dijon,FR,FRK11,5.61,2.85,4.32,5.74,3.02,6.3,6.36,6.88,3.74,1.73
